dataset,method,price,fit_seconds,utility_per_block,hits,raw_hits,input_blocks,cost,mean_blocks,peak_blocks,hit_rate,selected,capacity
toolagent,depth,1.0,9.774998761713505e-05,0.03588612289142879,9970,9970,157749,4309.0,3.0456610250667304,4,0.06320166847333422,,
toolagent,group_depth,1.0,0.0002654579875525087,0.14659997844677303,37326,37326,157749,14200.0,10.03675714921039,11,0.23661639693437042,,
toolagent,unconstrained,1.0,2.633300027810037e-05,0.14659997844677303,37326,37326,157749,14200.0,10.03675714921039,11,0.23661639693437042,,
toolagent,selected,1.0,0.0,0.14659997844677303,37326,37326,157749,14200.0,10.03675714921039,11,0.23661639693437042,group_depth,
toolagent,LRU,,,,57350,57377,157749,361313.86199999996,255.38165405192368,256,0.3635522253706838,,256.0
toolagent,FIFO,,,,52483,53193,157749,361313.86199999996,255.38165405192368,256,0.3326994148932798,,256.0
toolagent,LRU,,,,58767,58795,157749,1441208.3869999999,1018.6660973045229,1024,0.37253484966624195,,1024.0
toolagent,FIFO,,,,57230,57352,157749,1441208.3869999999,1018.6660973045229,1024,0.3627915232426196,,1024.0
toolagent,LRU,,,,65344,65368,157749,5694458.732999999,4024.9224929099496,4096,0.4142276654685608,,4096.0
toolagent,FIFO,,,,64246,64480,157749,5694458.732999999,4024.9224929099496,4096,0.40726724099677336,,4096.0
toolagent,LRU,,,,84933,85025,157749,21093927.970999997,14909.481152666427,16384,0.5384059486906415,,16384.0
toolagent,FIFO,,,,81909,82812,157749,21093927.970999997,14909.481152666427,16384,0.5192362550634235,,16384.0
toolagent,unbounded_reference,,,,90268,90268,157749,50604829.307,35768.19593884533,67335,0.5722254974674958,,
synthetic,global,0.0,4.9667025450617075e-05,0.7079327117302006,43809,43809,61883,5444395.974,13317.66829089308,18074,0.7079327117302006,,
synthetic,group,0.0,9.037501877173781e-05,0.7064621947869366,43718,43718,61883,5438566.185,13303.40790342702,18066,0.7064621947869366,,
synthetic,depth,0.0,0.00014325001393444836,0.6815442043856956,42176,42176,61883,5336419.381,13053.544142755803,17767,0.6815442043856956,,
synthetic,group_depth,0.0,0.00026795800658874214,0.6800736874424317,42085,42085,61883,5330589.592,13039.283755289744,17759,0.6800736874424317,,
synthetic,unconstrained,0.0,2.679199678823352e-05,0.6800736874424317,42085,42085,61883,5330589.592,13039.283755289744,17759,0.6800736874424317,,
synthetic,selected,0.0,0.0,0.6815442043856956,42176,42176,61883,5336419.381,13053.544142755803,17767,0.6815442043856956,depth,
synthetic,global,0.0001,2.983299782499671e-05,0.6991348254383272,43809,43809,61883,5444395.974,13317.66829089308,18074,0.7079327117302006,,
synthetic,group,0.0001,9.541699546389282e-05,0.6976737291582502,43718,43718,61883,5438566.185,13303.40790342702,18066,0.7064621947869366,,
synthetic,depth,0.0001,9.008400957100093e-05,0.6729208031591875,42176,42176,61883,5336419.381,13053.544142755803,17767,0.6815442043856956,,
synthetic,group_depth,0.0001,0.00026295898715034127,0.6714597068791105,42085,42085,61883,5330589.592,13039.283755289744,17759,0.6800736874424317,,
synthetic,unconstrained,0.0001,3.0208000680431724e-05,0.6714597068791105,42085,42085,61883,5330589.592,13039.283755289744,17759,0.6800736874424317,,
synthetic,selected,0.0001,0.0,0.6729208031591875,42176,42176,61883,5336419.381,13053.544142755803,17767,0.6815442043856956,depth,
synthetic,global,0.0003,3.6250014090910554e-05,0.6815390528545804,43809,43809,61883,5444395.974,13317.66829089308,18074,0.7079327117302006,,
