resolution,dataset,grouping,mode,price,train_value,relaxed_bound,train_hits,train_cost,test_utility,validation_utility,prepare_seconds,fit_seconds,hits,raw_hits,input_blocks,cost,mean_blocks,peak_blocks,hit_rate,nodes,certificates,flow_objective,residual
native,conversation,group_depth,cut,0.003,6618.489791800001,6618.4897918,7894.0,425170.0693999999,0.04682066256584233,0.05784582229368036,0.6911600409948733,0.004542459006188437,6130,6130,112010,295205.862,208.65560182516307,288,0.05472725649495581,4694.0,3818.0,6618.489791799999,1.8189894035458565e-12
native,conversation,group_depth,dp,0.003,6618.4897918,6618.4897918,7894.0,425170.0693999999,0.04682066256584233,0.05784582229368036,0.6911600409948733,0.0002580000145826489,6130,6130,112010,295205.862,208.65560182516307,288,0.05472725649495581,,,,
native,conversation,group_depth,cut,0.01,5020.637632,5023.083074,6250.0,122936.23679999996,0.044682172573877334,0.046323567934628405,0.6911600409948733,0.003916624991688877,5563,5563,112010,55814.985,39.4508063191423,167,0.04966520846353004,4694.0,3818.0,5020.637631999984,1.6370904631912708e-11
native,conversation,group_depth,dp,0.01,5020.637632,5023.083074,6250.0,122936.23679999996,0.044682172573877334,0.046323567934628405,0.6911600409948733,0.00025408301735296845,5563,5563,112010,55814.985,39.4508063191423,167,0.04966520846353004,,,,
native,conversation,group_depth,cut,0.03,4348.556012,4348.556012,4391.0,1414.7996,0.0458406392286403,0.045809560179317914,0.6911600409948733,0.004008957999758422,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,4694.0,3818.0,4348.556012000001,9.094947017729282e-13
native,conversation,group_depth,dp,0.03,4348.556012,4348.556012,4391.0,1414.7996,0.0458406392286403,0.045809560179317914,0.6911600409948733,0.00025258399546146393,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,group_depth,cut,0.1,4249.52004,4249.52004,4391.0,1414.7996,0.044957593072047136,0.044874497512626024,0.6911600409948733,0.003797625016886741,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,4694.0,3818.0,4249.52004000001,1.000444171950221e-11
native,conversation,group_depth,dp,0.1,4249.52004,4249.52004,4391.0,1414.7996,0.044957593072047136,0.044874497512626024,0.6911600409948733,0.0002733340079430491,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,group_depth,cut,0.3,3966.56012,3966.56012,4391.0,1414.7996,0.042434604053209535,0.042202889893506346,0.6911600409948733,0.0038336659781634808,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,4694.0,3818.0,3966.560120000002,1.8189894035458565e-12
native,conversation,group_depth,dp,0.3,3966.56012,3966.56012,4391.0,1414.7996,0.042434604053209535,0.042202889893506346,0.6911600409948733,0.0002553329977672547,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,group_depth,cut,1.0,2976.2003999999997,2976.2003999999997,4391.0,1414.7996,0.03360414248727792,0.03285226322658748,0.6911600409948733,0.003857250005239621,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,4694.0,3818.0,2976.2004000000015,1.8189894035458565e-12
native,conversation,group_depth,dp,1.0,2976.2003999999997,2976.2003999999997,4391.0,1414.7996,0.03360414248727792,0.03285226322658748,0.6911600409948733,0.0002513329964131117,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,toolagent,global,cut,0.0,84504.0,84504.0,84504.0,44660850.53315781,0.5712112279634102,0.5300983450536668,0.5733374590054154,0.0023453330213669688,90108,90108,157749,44533973.199,31477.23055547938,45184,0.5712112279634102,2156.0,2144.0,84504.0,0.0
native,toolagent,global,dp,0.0,84504.0,84504.0,84504.0,44660850.53315781,0.5712112279634102,0.5300983450536668,0.5733374590054154,4.6124972868710756e-05,90108,90108,157749,44533973.199,31477.23055547938,45184,0.5712112279634102,,,,
native,toolagent,global,cut,0.0001,80633.68894978099,80633.68894978099,84219.0,35853110.50219008,0.5450377546304573,0.5121222558798181,0.5733374590054154,0.0024295000184793025,89545,89545,157749,35658392.448,25203.846854353083,32272,0.567642267145909,2156.0,2144.0,80633.68894978099,0.0
native,toolagent,global,dp,0.0001,80633.68894978099,80633.68894978099,84219.0,35853110.50219008,0.5450377546304573,0.5121222558798181,0.5733374590054154,4.308400093577802e-05,89545,89545,157749,35658392.448,25203.846854353083,32272,0.567642267145909,,,,
native,toolagent,global,cut,0.0003,73463.06684934298,73463.06684934298,84219.0,35853110.50219008,0.49982872959955377,0.47667237753740815,0.5733374590054154,0.0025729579792823642,89545,89545,157749,35658392.448,25203.846854353083,32272,0.567642267145909,2156.0,2144.0,73463.06684934298,0.0
native,toolagent,global,dp,0.0003,73463.06684934298,73463.06684934298,84219.0,35853110.50219008,0.49982872959955377,0.47667237753740815,0.5733374590054154,5.9084006352350116e-05,89545,89545,157749,35658392.448,25203.846854353083,32272,0.567642267145909,,,,
native,toolagent,global,cut,0.001,58160.18052180298,58160.18052180298,68851.0,10690819.478197023,0.41582243404395586,0.39476603435996405,0.5733374590054154,0.0024487500195391476,76180,76180,157749,10584426.852,7481.219850500382,8863,0.4829190676327584,2156.0,2144.0,58160.18052180298,0.0
native,toolagent,global,dp,0.001,58160.18052180298,58160.18052180298,68851.0,10690819.478197023,0.41582243404395586,0.39476603435996405,0.5733374590054154,4.937499761581421e-05,76180,76180,157749,10584426.852,7481.219850500382,8863,0.4829190676327584,,,,
native,toolagent,global,cut,0.003,49056.73777079997,49056.73777079997,52140.0,1027754.0764000101,0.35096969358918284,0.3519551472505684,0.5733374590054154,0.0020896669884677976,58404,58404,157749,1012960.602,715.9746171825324,1811,0.3702337257288477,2156.0,2144.0,49056.73777079997,0.0
native,toolagent,global,dp,0.003,49056.73777079997,49056.73777079997,52140.0,1027754.0764000101,0.35096969358918284,0.3519551472505684,0.5733374590054154,4.3333013309165835e-05,58404,58404,157749,1012960.602,715.9746171825324,1811,0.3702337257288477,,,,
native,toolagent,global,cut,0.01,41862.4592359999,41862.4592359999,52140.0,1027754.0764000101,0.30602028526329805,0.30711286768360385,0.5733374590054154,0.002034208009717986,58404,58404,157749,1012960.602,715.9746171825324,1811,0.3702337257288477,2156.0,2144.0,41862.4592359999,0.0
native,toolagent,global,dp,0.01,41862.4592359999,41862.4592359999,52140.0,1027754.0764000101,0.30602028526329805,0.30711286768360385,0.5733374590054154,4.9124995712190866e-05,58404,58404,157749,1012960.602,715.9746171825324,1811,0.3702337257288477,,,,
native,toolagent,global,cut,0.03,29535.085905999833,29535.085905999833,39319.0,326130.46980000567,0.2184574426462291,0.22477076243853433,0.5733374590054154,0.0021129579981788993,44129,44129,157749,322251.896,227.77211415666218,1138,0.27974186841121024,2156.0,2144.0,29535.085905999833,0.0
native,toolagent,global,dp,0.03,29535.085905999833,29535.085905999833,39319.0,326130.46980000567,0.2184574426462291,0.22477076243853433,0.5733374590054154,4.266700125299394e-05,44129,44129,157749,322251.896,227.77211415666218,1138,0.27974186841121024,,,,
native,toolagent,global,cut,0.1,6705.953019999433,6705.953019999433,39319.0,326130.46980000567,0.07546044919460661,0.08136192565959921,0.5733374590054154,0.0021611670090351254,44129,44129,157749,322251.896,227.77211415666218,1138,0.27974186841121024,2156.0,2144.0,6705.953019999433,0.0
native,toolagent,global,dp,0.1,6705.953019999433,6705.953019999433,39319.0,326130.46980000567,0.07546044919460661,0.08136192565959921,0.5733374590054154,4.070898285135627e-05,44129,44129,157749,322251.896,227.77211415666218,1138,0.27974186841121024,,,,
native,toolagent,global,cut,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5733374590054154,0.002150459011318162,0,0,157749,0.0,0.0,0,0.0,2156.0,2144.0,0.0,0.0
native,toolagent,global,dp,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5733374590054154,3.979200846515596e-05,0,0,157749,0.0,0.0,0,0.0,,,,
native,toolagent,global,cut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5733374590054154,0.002205875003710389,0,0,157749,0.0,0.0,0,0.0,2156.0,2144.0,0.0,0.0
