dataset,price,comparator,selected,difference,bootstrap_low,bootstrap_high,buckets,selected_hit,baseline_hit,selected_mean,baseline_mean
toolagent,0.0001,group,group_depth,-0.000293052735041107,-0.0003980948414177891,-0.00018953994337789882,24,0.5672428985286753,0.5672619160818769,24309.973164397274,24004.426174562108
toolagent,0.0003,global,group_depth,0.0025338518050828543,0.0015137273324359998,0.0034781973866220795,24,0.565391856683719,0.567642267145909,23425.709068620017,25203.8468543531
toolagent,0.0003,group,group_depth,-1.6117610254271275e-05,-0.0008194147771269705,0.0006081561254995121,24,0.565391856683719,0.5663617518970009,23425.709068620017,23780.193814728227
toolagent,0.001,global,group_depth,0.004548423261003374,0.002061576538399671,0.007090796409060491,24,0.5014104685291191,0.4829190676327584,9035.850470271538,7481.219850500385
toolagent,0.001,group,group_depth,0.0009142841412625385,-0.0013463210981649921,0.003228391723271217,24,0.5014104685291191,0.4841995828816664,9035.850470271538,7218.7927109959655
toolagent,0.003,global,group_depth,0.017616415406753762,0.015429196199405621,0.020350718188724533,24,0.3729785925742794,0.3702337257288477,163.25277728379356,715.9746171825325
toolagent,0.003,group,group_depth,0.00021484127950097454,-0.001730205276466943,0.0027887507586092887,24,0.3729785925742794,0.3715332585309574,163.25277728379356,117.51979785688374
toolagent,0.01,global,group_depth,0.05884307577227115,0.05707554035909455,0.060493455688804154,24,0.3711275507293232,0.3702337257288477,69.84520351857601,715.9746171825325
toolagent,0.01,group,group_depth,-0.0002673236597379299,-0.0006316306319195846,4.352964923318078e-05,24,0.3711275507293232,0.3713937964741456,69.84520351857601,69.83318485529686
toolagent,0.03,global,group_depth,0.13842590076640732,0.12733636295530795,0.1495422503664518,24,0.36977096526760866,0.27974186841121024,47.89864373724731,227.77211415666198
toolagent,0.03,group,group_depth,0.000435185009096713,0.0002956567876546089,0.0006063140049680452,24,0.36977096526760866,0.3698597138492162,47.89864373724731,49.84591598697081
toolagent,0.1,global,group_depth,0.2549696093160652,0.2435020098328504,0.26628918009923636,24,0.36727332661379786,0.27974186841121024,41.07994305341897,227.77211415666198
toolagent,0.1,group,group_depth,0.00521086979949158,0.004346837355272964,0.006121943296616321,24,0.36727332661379786,0.3698470354804151,41.07994305341897,49.75968469315365
toolagent,0.3,global,group_depth,0.27543969153528725,0.26540526585764146,0.28672214702573495,24,0.3375996044348934,0.0,23.10259841747193,0.0
toolagent,0.3,group,group_depth,0.030231669297428185,0.026298374540350895,0.03447257760853567,24,0.3375996044348934,0.3598564808651719,23.10259841747193,42.6106983632169
toolagent,1.0,global,group_depth,0.14659997844677303,0.14077152066296955,0.15277092048191665,24,0.23661639693437042,0.0,10.036757149210391,0.0
toolagent,1.0,group,group_depth,0.06094346081433009,0.051491821510449357,0.0715058142528325,24,0.23661639693437042,0.2708860278036628,10.036757149210391,20.65293911590006
synthetic,0.0,global,depth,-0.026388507344504954,-0.04265955989630995,-0.010150133738660966,7,0.6815442043856956,0.7079327117302006,13053.544142755793,13317.668290893049
